round,date,main_1,main_2,main_3,main_4,main_5,main_6,first_prize_games,sales_amount_krw,price_per_game_krw,sold_lines,birthday_count,relevant_sales_amount_audit_only
237,20070616,1,11,17,21,24,44,7,43358287000,1000,43358287,5,43358287000
238,20070623,2,4,15,28,31,34,9,42952477000,1000,42952477,5,42952477000
239,20070630,11,15,24,39,41,44,9,43296565000,1000,43296565,3,43296565000
240,20070707,6,10,16,40,41,43,2,43603443000,1000,43603443,3,43603443000
241,20070714,2,16,24,27,28,35,4,43246894000,1000,43246894,5,43246894000
242,20070721,4,19,20,21,32,34,8,42679760000,1000,42679760,4,42679760000
243,20070728,2,12,17,19,28,42,4,41304830000,1000,41304830,5,41304830000
244,20070804,13,16,25,36,37,38,1,39411047000,1000,39411047,3,39411047000
245,20070811,9,11,27,31,32,38,7,41854623000,1000,41854623,4,41854623000
246,20070818,13,18,21,23,26,39,5,41453154000,1000,41453154,5,41453154000
247,20070825,12,15,28,36,39,40,6,42231698000,1000,42231698,3,42231698000
248,20070901,3,8,17,23,38,45,8,42348403000,1000,42348403,4,42348403000
249,20070908,3,8,27,31,41,44,6,42539134000,1000,42539134,4,42539134000
250,20070915,19,23,30,37,43,45,5,42122808000,1000,42122808,3,42122808000
251,20070922,6,7,19,25,28,38,8,44493014000,1000,44493014,5,44493014000
252,20070929,14,23,26,31,39,45,7,41207920000,1000,41207920,4,41207920000
253,20071006,8,19,25,31,34,36,4,42309347000,1000,42309347,4,42309347000
254,20071013,1,5,19,20,24,30,1,42259113000,1000,42259113,6,42259113000
255,20071020,1,5,6,24,27,42,6,41425341000,1000,41425341,5,41425341000
256,20071027,4,11,14,21,23,43,2,41996580000,1000,41996580,5,41996580000
257,20071103,6,13,27,31,32,37,4,41433637000,1000,41433637,4,41433637000
258,20071110,14,27,30,31,38,40,4,41364428000,1000,41364428,4,41364428000
259,20071117,4,5,14,35,42,45,2,40905570000,1000,40905570,3,40905570000
260,20071124,7,12,15,24,37,40,4,40140211000,1000,40140211,4,40140211000
261,20071201,6,11,16,18,31,43,3,41215041000,1000,41215041,5,20607538165
262,20071208,9,12,24,25,29,31,2,39232234000,1000,39232234,6,19616145108
263,20071215,1,27,28,32,37,40,6,39677128000,1000,39677128,3,19838573376
264,20071222,9,16,27,36,41,44,7,39783178000,1000,39783178,3,19891628839
265,20071229,5,9,34,37,38,39,8,40913922000,1000,40913922,2,20456996760
266,20080105,3,4,9,11,22,42,3,41937067000,1000,41937067,5,20968541748
267,20080112,7,8,24,34,36,41,3,41835853000,1000,41835853,3,20917945142
268,20080119,3,10,19,24,32,45,7,41213802000,1000,41213802,4,20606907527
269,20080126,5,18,20,36,42,43,5,41357619000,1000,41357619,3,20678823238
270,20080202,5,9,12,20,21,26,5,41845351000,1000,41845351,6,20922697382
271,20080209,3,8,9,27,29,40,6,40879633000,1000,40879633,5,20439844690
272,20080216,7,9,12,27,39,43,9,43310674000,1000,43310674,4,21655346728
273,20080223,1,8,24,31,34,44,3,42816211000,1000,42816211,4,21408110043
274,20080301,13,14,15,26,35,39,4,42631711000,1000,42631711,4,21315887777
275,20080308,14,19,20,35,38,40,1,42329813000,1000,42329813,3,21164930256
276,20080315,4,15,21,33,39,41,3,42567610000,1000,42567610,3,21283853797
277,20080322,10,12,13,15,25,29,3,41868708000,1000,41868708,6,20934378077
278,20080329,3,11,37,39,41,43,3,41088180000,1000,41088180,2,20544124135
279,20080405,7,16,31,36,37,38,5,41130542000,1000,41130542,3,20565294210
280,20080412,10,11,23,24,36,37,7,40673999000,1000,40673999,4,20337006236
281,20080419,1,3,4,6,14,41,6,40800514000,1000,40800514,5,20400303156
282,20080426,2,5,10,18,31,32,7,41051175000,1000,41051175,5,20525598068
283,20080503,6,8,18,31,38,45,3,40133316000,1000,40133316,4,20066701007
284,20080510,2,7,15,24,30,45,3,39773403000,1000,39773403,5,19886739840
285,20080517,13,33,37,40,41,45,3,40364871000,1000,40364871,1,20182483433
286,20080524,1,15,19,40,42,44,3,40944483000,1000,40944483,3,20472256211
287,20080531,6,12,24,27,35,37,7,40623489000,1000,40623489,4,20311748165
288,20080607,1,12,17,28,35,41,4,39970134000,1000,39970134,4,19985090526
289,20080614,3,14,33,37,38,42,0,39406643000,1000,39406643,2,19703321500
290,20080621,8,13,18,32,39,45,13,80362302000,1000,80362302,3,49362920581
291,20080628,3,7,8,18,20,42,7,44143418000,1000,44143418,5,22071714263
292,20080705,17,18,31,32,33,34,14,43394631000,1000,43394631,3,21697345728
293,20080712,1,9,17,21,29,33,6,42399708000,1000,42399708,5,21199876103
294,20080719,6,10,17,30,37,38,4,41563813000,1000,41563813,4,20781906500
295,20080726,1,4,12,16,18,38,0,42248135000,1000,42248135,5,21124067500
296,20080802,3,8,15,27,30,45,8,63377899000,1000,63377899,5,31688949500
297,20080809,6,11,19,20,28,32,2,43641475000,1000,43641475,5,21820737500
298,20080816,5,9,27,29,37,40,1,43151675000,1000,43151675,4,21575837500
299,20080823,1,3,20,25,36,45,7,44463909000,1000,44463909,4,22231954500
300,20080830,7,9,10,12,26,38,12,44465047000,1000,44465047,5,22232523500
301,20080906,7,11,13,33,37,43,7,44377177000,1000,44377177,3,22188588500
302,20080913,13,19,20,32,38,42,2,46382605000,1000,46382605,3,23191302500
303,20080920,2,14,17,30,38,45,6,42841760000,1000,42841760,4,21420880000
304,20080927,4,10,16,26,33,41,6,43158653000,1000,43158653,4,21579326500
305,20081004,7,8,18,21,23,39,5,43960659000,1000,43960659,5,21980329500
306,20081011,4,18,23,30,34,41,5,44421462000,1000,44421462,4,22210731000
307,20081018,5,15,21,23,25,45,4,43880990000,1000,43880990,5,21940495000
308,20081025,14,15,17,19,37,45,1,43339416000,1000,43339416,4,21669708000
309,20081101,1,2,5,11,18,36,11,44157528000,1000,44157528,5,22078764000
310,20081108,1,5,19,28,34,41,8,43718082000,1000,43718082,4,21859041000
311,20081115,4,12,24,27,28,32,8,43209215000,1000,43209215,5,21604607500
312,20081122,2,3,5,6,12,20,15,42255391000,1000,42255391,6,21127695500
313,20081129,9,17,34,35,43,45,6,43672096000,1000,43672096,2,21836048000
314,20081206,15,17,19,34,38,41,6,42328094000,1000,42328094,3,21164047000
315,20081213,1,13,33,35,43,45,8,44339180000,1000,44339180,2,22169590000
316,20081220,10,11,21,27,31,39,6,44073768000,1000,44073768,5,22036884000
317,20081227,3,10,11,22,36,39,4,44135114000,1000,44135114,4,22067557000
318,20090103,2,17,19,20,34,45,9,46663728000,1000,46663728,4,23331864000
319,20090110,5,8,22,28,33,42,5,45435183000,1000,45435183,4,22717591500
320,20090117,16,19,23,25,41,45,2,46659886000,1000,46659886,4,23329943000
321,20090124,12,18,20,21,25,34,6,50617982000,1000,50617982,5,25308991000
322,20090131,9,18,29,32,38,43,6,48948294000,1000,48948294,3,24474147000
323,20090207,10,14,15,32,36,42,8,49209477000,1000,49209477,3,24604738500
324,20090214,2,4,21,25,33,36,6,47988317000,1000,47988317,4,23994158500
325,20090221,7,17,20,32,44,45,6,46636979000,1000,46636979,3,23318489500
326,20090228,16,23,25,33,36,39,6,47224551000,1000,47224551,3,23612275500
327,20090307,6,12,13,17,32,44,12,45791560000,1000,45791560,4,22895780000
328,20090314,1,6,9,16,17,28,6,47316988000,1000,47316988,6,23658494000
329,20090321,9,17,19,30,35,42,6,47198504000,1000,47198504,4,23599252000
330,20090328,3,4,16,17,19,20,9,45859496000,1000,45859496,6,22929748000
331,20090404,4,9,14,26,31,44,5,46641467000,1000,46641467,5,23320733500
332,20090411,16,17,34,36,42,45,8,46042557000,1000,46042557,2,23021278500
333,20090418,5,14,27,30,39,43,7,46019070000,1000,46019070,4,23009535000
334,20090425,13,15,21,29,39,43,7,44439656000,1000,44439656,4,22219828000
335,20090502,5,9,16,23,26,45,5,43977478000,1000,43977478,5,21988739000
336,20090509,3,5,20,34,35,44,6,43069333000,1000,43069333,3,21534666500
337,20090516,1,5,14,18,32,37,8,43432467000,1000,43432467,4,21716233500
338,20090523,2,13,34,38,42,45,3,43136020000,1000,43136020,2,21568010000
339,20090530,6,8,14,21,30,37,9,42035640000,1000,42035640,5,21017820000
340,20090606,18,24,26,29,34,38,7,42892121000,1000,42892121,4,21446060500
